Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1400-1600,766,700-800,870,925,New Hampshire,2022
1200-1390,2174,600-690,2543,1894,New Hampshire,2022
1000-1190,4314,500-590,4113,4389,New Hampshire,2022
800-990,4059,400-490,3816,3756,New Hampshire,2022
600-790,1238,300-390,1186,1560,New Hampshire,2022
400-590,11,200-290,34,38,New Hampshire,2022
1400-1600,2717,700-800,3059,2987,Washington,2022
1200-1390,5563,600-690,6017,4887,Washington,2022
1000-1190,7518,500-590,7144,7638,Washington,2022
800-990,6239,400-490,6238,5997,Washington,2022
600-790,2200,300-390,1755,2650,Washington,2022
400-590,96,200-290,120,174,Washington,2022
1400-1600,28,700-800,29,35,South Dakota,2022
1200-1390,57,600-690,65,46,South Dakota,2022
1000-1190,64,500-590,49,62,South Dakota,2022
800-990,11,400-490,14,17,South Dakota,2022
600-790,2,300-390,5,0,South Dakota,2022
400-590,0,200-290,0,206,South Dakota,2022
1400-1600,351,700-800,466,423,Maine,2022
1200-1390,1242,600-690,1461,1093,Maine,2022
1000-1190,2529,500-590,2379,2428,Maine,2022
800-990,1809,400-490,1621,1801,Maine,2022
600-790,267,300-390,270,443,Maine,2022
400-590,5,200-290,6,15,Maine,2022
1400-1600,7651,700-800,7358,9297,New Jersey,2022
1200-1390,14477,600-690,16479,12626,New Jersey,2022
1000-1190,22017,500-590,21918,21764,New Jersey,2022
800-990,20661,400-490,20321,19158,New Jersey,2022
600-790,7402,300-390,6090,9149,New Jersey,2022
400-590,130,200-290,172,344,New Jersey,2022
1400-1600,16476,700-800,15764,18907,California,2022
1200-1390,22804,600-690,25223,19982,California,2022
1000-1190,27072,500-590,26975,27064,California,2022
800-990,25244,400-490,26357,22719,California,2022
600-790,10091,300-390,7299,12712,California,2022
400-590,341,200-290,410,644,California,2022
1400-1600,520,700-800,555,576,Minnesota,2022
1200-1390,707,600-690,726,601,Minnesota,2022
1000-1190,586,500-590,516,609,Minnesota,2022
800-990,266,400-490,284,279,Minnesota,2022
600-790,63,300-390,60,75,Minnesota,2022
400-590,0,200-290,1,0,Minnesota,2022
1400-1600,6039,700-800,6478,7462,Illinois,2022
1200-1390,17426,600-690,20363,16510,Illinois,2022
1000-1190,37072,500-590,37940,36270,Illinois,2022
800-990,54737,400-490,54145,49910,Illinois,2022
